[0.14281169 0.89524603]
[0.21924685 0.95586957]
[0.30311972 0.53382923]
[0.9038809  0.36236482]
[0.23255189 0.08456205]
[0.92101544 0.72382105]
[0.62155212 0.71411602]
[0.38073635 0.10615305]
[0.5353645  0.96371344]
[0.18042848 0.4577604 ]
[0.88148544 0.85731984]
[0.7184604 0.3986021]
[0.34753453 0.44982069]
[0.80355264 0.34696371]
[0.77390777 0.75896337]
[0.1768374  0.40681058]
[0.29994697 0.85328279]
[0.82622317 0.38998368]
[0.2692834  0.38630645]
[0.48843483 0.6711913 ]
[0.91781307 0.19410673]
[0.70270598 0.66956981]
[0.58426012 0.95330009]
[0.03473308 0.55505574]
[0.53385544 0.55047715]
[0.65453148 0.26215315]
[0.46887989 0.94840889]
[0.82275772 0.96580975]
[0.40026308 0.86985361]
[0.25369511 0.63442754]
[0.21138432 0.92381786]
[0.18264053 0.50738698]
[0.67803326 0.37212003]
[0.17054876 0.17356887]
[0.80179053 0.75509296]
[0.64166509 0.03358149]
[0.44403498 0.24570879]
[0.31149078 0.8153964 ]
[0.95502785 0.87660345]
[0.95511454 0.97511979]
[0.05310253 0.80542091]
[0.54900991 0.80715831]
[0.93162109 0.73537912]
[0.13969713 0.59554578]
[0.81140943 0.31592962]
[0.84140566 0.26067895]
[0.29721207 0.76886119]
[0.53542121 0.2732745 ]
[0.9514457  0.23185896]
[0.34739317 0.85465987]
[0.06053375 0.36756669]
[0.426569   0.08413349]
[0.04392971 0.86619397]
[0.63294993 0.79595534]
[0.33879593 0.33805425]
[0.25835921 0.93315078]
[0.14493282 0.66261169]
[0.21156706 0.46823024]
[0.20173191 0.46559354]
[0.67562265 0.11579688]
[0.02396136 0.79602717]
[0.14282428 0.04035622]
[0.33978608 0.40062101]
[0.56090124 0.66100363]
[0.76418242 0.64919351]
[0.97328756 0.40920149]
[0.7817607 0.6893768]
[0.05073305 0.37211489]
[0.19268406 0.36154152]
[0.94675308 0.57735904]
[0.76108016 0.52113468]
[0.1088468  0.53220179]
[0.34647947 0.21849018]
[0.04986108 0.63306533]
[0.64290055 0.50872281]
[0.06626362 0.06836784]
[0.12615729 0.25168679]
[0.57361446 0.87181776]
[0.10910792 0.27372574]
[0.9312917 0.3950417]
[0.27248201 0.90886066]
[0.21603545 0.37263256]
[0.22792224 0.48520956]
[0.18619269 0.18698661]
[0.29044103 0.96627806]
[0.15455146 0.55040675]
[0.88337179 0.25416121]
[0.78359469 0.76090475]
[0.29503258 0.31477311]
[0.88625122 0.91976208]
[0.43761719 0.71769419]
[0.89298005 0.06790676]
[0.05914209 0.10253447]
[0.21075674 0.9072825 ]
[0.31405155 0.35954775]
[0.74841812 0.52054578]
[0.36872912 0.10012438]
[0.6717786  0.22700961]
[0.00137964 0.53774416]
[0.0879031  0.33705387]
[0.50957746 0.17702707]
[0.19358941 0.44206373]
[0.76387095 0.56725846]
[0.30795482 0.42011903]
[0.94859812 0.60426158]
[0.21387085 0.17946254]
[0.35465145 0.87746965]
[0.66740839 0.69864149]
[0.11183367 0.12432109]
[0.45083256 0.06408802]
[ 0.81926869 -0.0023793 ]
[0.39176953 0.69551418]
[0.59694262 0.45644145]
[0.42982702 0.67238521]
[0.76738097 0.46514094]
[0.47975319 0.07586144]
[0.04890041 0.23607952]
[0.13077824 0.28107589]
[0.6198957  0.84946653]
[0.46948412 0.6916742 ]
[0.79473352 0.61874322]
[0.39374035 0.41033813]
[0.78653866 0.03052083]
[0.39545278 0.0504587 ]
[0.30641964 0.89512101]
[0.53048298 0.80238336]
[0.03617059 0.26620291]
[0.59277043 0.25764791]
[0.67249592 0.81977978]
