[0.23121365 0.07641947]
[0.35736523 0.85952429]
[0.67391988 1.09980123]
[0.56803783 0.3120353 ]
[0.04970846 0.46565547]
[0.71536021 0.49560153]
[0.27815403 0.41946266]
[0.38133399 0.51867008]
[0.43083674 0.26795054]
[0.67173919 0.28399018]
[-0.02809678  0.49882422]
[0.20493282 0.56301703]
[0.19225578 0.90929895]
[0.58694611 0.6963757 ]
[0.29757369 0.23133782]
[0.34755544 0.39119369]
[0.43595817 1.03124234]
[0.41194745 0.71520528]
[0.16939216 0.68109851]
[0.15414629 0.22391275]
[0.49637685 0.56862805]
[-0.04600154  0.30598663]
[0.86784704 0.278968  ]
[-0.01499053  0.43564703]
[0.25517568 0.01782391]
[-0.0506112  0.2450626]
[0.27110007 0.5991542 ]
[0.51354065 0.81491604]
[0.18905656 0.90742031]
[0.52891859 0.69988527]
[0.73271864 0.5628305 ]
[0.48877219 0.86786221]
[0.6641756  0.73403194]
[0.89102421 0.12434445]
[0.48115203 0.32620896]
[0.64154618 0.68210543]
[0.22861578 0.65974356]
[-0.04840157  0.34968038]
[0.3217214  0.64985155]
[0.78309263 0.39183191]
[0.33031531 0.56303402]
[0.24977742 0.13474151]
[0.46832758 0.1981678 ]
[0.19492601 0.50274507]
[0.61383438 0.10877102]
[0.07903399 0.22720494]
[-0.05043841  0.74513073]
[0.43619599 0.8267721 ]
[0.41867858 0.37559458]
[0.42870794 0.5124377 ]
[0.18579677 0.80560498]
[0.68498543 0.00882823]
[0.30725304 0.93202472]
[0.38491258 0.63643512]
[0.32476452 0.92892837]
[0.08431895 0.41540557]
[0.76102182 0.91060955]
[0.50529197 0.9579397 ]
[0.62067306 0.43454824]
[0.79997757 0.38814865]
[0.64492323 0.35994779]
[0.08682794 0.18471484]
[0.77137977 0.43647257]
[-0.03256126  0.78680581]
[0.37888231 0.27255258]
[0.96918537 0.4683319 ]
[0.34276213 0.42441534]
[0.74932629 0.70783415]
[ 0.65725475 -0.00256232]
[0.39751649 0.80928889]
[0.79257557 0.80666439]
[0.63643384 0.75312514]
[0.01213341 0.13867257]
[0.43227727 1.0117444 ]
[0.32162971 0.88471752]
[0.8507049  0.77800882]
[0.83056552 0.46440566]
[0.64325659 0.66568563]
[0.499178   0.29252901]
[0.74826429 0.53524348]
[0.01055672 0.19165187]
[0.07838669 0.28233127]
[0.78617914 0.53329554]
[0.25530758 0.4282524 ]
[0.61082139 0.62772999]
[0.26773854 0.90321459]
[0.64727338 0.27404928]
[0.22946732 0.96047523]
[0.36730549 0.68761801]
[0.45650128 0.35987151]
[0.71118051 0.4433172 ]
[0.33450267 1.04789874]
[0.33031534 0.71324965]
[0.27849987 0.55834955]
[0.51643444 0.21928533]
[0.39690101 0.88335192]
[0.87269604 0.27119681]
[0.75215558 0.63253939]
[0.30670403 0.90637795]
[0.87155932 0.7526987 ]
[0.19812657 0.85891483]
[0.86114916 0.43697022]
[0.4532363  0.26412521]
[0.61128302 0.23296653]
[0.35867739 0.07951268]
[0.77739076 0.58258949]
[0.76818586 0.14986375]
[0.67247423 0.19549736]
[0.43570835 0.29766216]
[0.62496411 0.5006058 ]
[0.68724117 0.76811633]
[0.99578551 0.65909021]
[0.35760157 0.6993014 ]
[0.33570806 0.95629562]
[0.51160912 0.70856219]
[0.37987107 1.05676316]
[0.62743184 0.97518908]
[0.1250902  0.30008249]
[0.7426117  0.24549252]
[0.05651689 0.90177619]
[0.72873837 0.94722206]
[0.48358163 0.65283098]
[1.00622031 0.42591138]
[ 0.55124885 -0.07918646]
[0.93001197 0.90321774]
[0.56907988 0.8492151 ]
[0.41439384 0.48725897]
[0.18481361 0.48382154]
[0.72764858 0.09530143]
[0.47895542 0.51257481]
[0.69333231 0.19801115]
[0.11767615 0.27520606]
[0.28173239 0.15633039]
[0.14589512 0.41189687]
[0.75025804 0.81547074]
[0.63428862 0.10499738]
[0.99436708 0.74909499]
[0.59128258 0.36744617]
[0.56044852 0.69951916]
[0.51417098 0.64145792]
[0.85326654 0.91026885]
[0.32759228 0.32260344]
[0.96013199 0.51914961]
[0.37920327 0.75416615]
[0.91000107 0.61620399]
[0.35613796 0.57867875]
[ 0.11618574 -0.00109152]
[0.79025475 0.65954791]
[0.38859109 0.82037433]
[0.75794287 0.46851632]
[0.32151358 0.12147939]
[0.85944433 0.45929869]
[0.56314424 0.1815745 ]
[0.91429713 0.88938868]
[0.70307941 0.23357381]
[0.02425911 0.43717018]
[0.24206948 0.41157694]
[0.39166294 0.55769253]
[0.81991645 0.22699255]
[0.70216484 0.37593921]
[0.27174997 0.49867495]
[0.49483854 0.44181516]
[0.58525211 0.55552237]
[0.72304034 0.56961309]
[0.40101542 0.82795952]
[0.57166965 0.97783695]
[1.0377073  0.57870249]
[0.48062481 0.14865111]
[0.28359441 0.7151528 ]
[-0.0476816   0.52789598]
[0.87530299 0.80071612]
[0.89213789 0.69257667]
[0.03818178 0.90518802]
[0.66271891 0.08101139]
[1.02595897 0.2057003 ]
[-0.08232563  0.57539745]
[0.28396339 0.16957384]
[0.31152767 0.6781572 ]
[0.29792795 1.02953288]
[0.764263   0.73245615]
[0.59401216 0.64554659]
[0.25992308 0.78629016]
[0.54922045 0.92651068]
[0.5593869  0.93346533]
[0.47597028 0.49505894]
[0.61053223 0.39812777]
[0.38603031 0.62388441]
[0.29860948 0.65961602]
[0.5826288  0.81466844]
[0.0927457  0.00875289]
[0.93409794 0.78982209]
[0.10477244 0.436097  ]
[0.55486427 0.3269674 ]
[0.29271993 0.35120932]
[0.70972988 0.81354598]
[0.38866161 0.39492104]
[0.42567565 0.03258776]
[0.69919723 0.97380372]
[-0.02515     0.76934447]
[0.54641071 0.29548528]
[0.73343208 0.28032131]
[0.61404386 0.26966392]
[0.4259035  0.27536378]
[0.00959312 0.61979603]
[0.42303482 0.46666265]
[0.43789465 0.39633936]
[0.82945243 0.92647122]
[-0.06295673  0.49461493]
[0.24526968 0.36488573]
[0.9202184  0.82355973]
[0.9354673  0.51327815]
[0.07226244 0.76446132]
[0.35349823 0.6917313 ]
[1.00043956 0.37332196]
[0.16384261 0.15690866]
[0.76648458 0.34875155]
[0.56396375 0.96233471]
[0.54511535 0.89166332]
[0.5553002  0.64020484]
[0.88221781 0.50206293]
[0.5516654 0.2805552]
[ 0.63943341 -0.01644124]
[0.11409922 0.21547349]
[0.47498437 0.74728036]
[0.09268968 0.23150574]
[0.15114839 0.41802973]
[0.10236139 0.33269921]
[0.69310306 0.15795216]
[0.37097136 0.82455264]
[0.33470025 0.95787103]
[0.3760495  0.72498688]
[0.08919017 0.52587059]
[0.67321939 0.77729534]
[0.31642337 0.77142891]
[0.35020915 0.03161653]
[0.74884496 0.49084642]
[0.08887543 0.04470707]
[-0.04807669  0.6032521 ]
[0.58508209 0.52591714]
[ 0.41818775 -0.01146915]
[0.72102357 0.76746899]
[0.03746768 0.83167024]
[0.27736143 0.48760456]
[0.39173588 0.04148926]
[-0.0060105   0.48885912]
[0.15669401 0.83221828]
[-0.05862829  0.24893421]
[0.59686993 0.79710811]
[0.28844792 0.06684943]
[0.13305274 0.51098178]
[0.59118195 0.94213201]
[0.17882682 0.50004215]
[0.64601358 0.46253412]
[0.91242848 0.7146149 ]
[0.72352555 0.8782628 ]
[-0.01192314  0.17898341]
[0.44854484 0.90647529]
[0.60703706 0.21700275]
[0.84576619 0.49436919]
[0.52129855 0.61463142]
[0.80050888 0.31359015]
[0.44482685 0.69227307]
[ 0.20805559 -0.04599221]
[0.57840511 0.46539838]
[0.7821543  0.80532531]
[0.74822559 0.73495236]
[1.00504101 0.37533028]
[0.36148987 0.4904546 ]
[0.31492341 0.52987912]
[0.49596616 0.08466431]
[0.31548569 0.23255411]
[0.29675414 0.5207478 ]
[0.42821516 0.27878246]
[0.75435303 0.10939339]
[0.72160016 0.77398418]
[0.16468212 0.85598642]
[0.91650021 0.40646324]
[0.47354249 0.51585297]
[0.23130369 0.53418421]
[-0.01449986  0.5709268 ]
[0.40451601 0.55424754]
[0.83206792 0.043798  ]
[0.36294724 0.95459472]
[0.74747487 0.74852777]
[0.07583781 0.25749741]
[0.69537964 0.63524986]
[0.5323228  0.74275622]
[0.48622124 0.7018512 ]
[0.310347   0.82028624]
[0.98178283 0.75180675]
[0.43505642 0.71730678]
[0.63995874 0.89445465]
[0.08223502 0.22611417]
[0.37295588 0.13233658]
[0.51685092 0.52690282]
[0.10929555 0.75405042]
[0.23447112 0.53740526]
[0.74315999 0.6652331 ]
[0.49501226 0.29222476]
[0.64446634 0.24467259]
[0.020046   0.51266792]
[0.10453474 0.62741461]
[0.12071827 0.76627172]
[0.45254087 0.38294005]
[ 0.44561495 -0.01866587]
[0.18544955 0.48846349]
[0.13373101 0.42826087]
[0.4689357  0.99446655]
[0.48601937 0.59739028]
[0.04994571 0.43152592]
[0.64266737 0.9772183 ]
[0.45876389 0.09360153]
[0.19043141 0.22368391]
[0.91952009 0.55833947]
[0.65072893 0.22319093]
[0.80830711 0.47010432]
[0.49719835 0.75665787]
[0.19740998 0.31935513]
[0.53712801 0.68163549]
[0.67274367 0.2421471 ]
[0.33531802 0.25147375]
[0.6464161  0.01115794]
[0.79579063 0.30449927]
[0.36393235 0.2696918 ]
[0.88516555 0.70745424]
[0.02604831 0.31941029]
[0.0871826  0.61893846]
[0.64634367 0.5620797 ]
[0.99860037 0.6061869 ]
[0.89635369 0.59265983]
[0.66424294 0.16446263]
[0.9645826  0.60955694]
[0.60553664 0.96842962]
[0.59336336 0.9369605 ]
[0.06287919 0.35699107]
[-0.00615969  0.31203674]
[0.20689219 0.00743195]
[0.22702297 0.97170809]
[-0.00625756  0.74826078]
[0.79323543 0.41546379]
[0.58542846 0.47715347]
[0.20382948 0.96195392]
[0.32760545 0.90871836]
[0.3559195  0.79435851]
[3.51042652e-04 6.04618845e-01]
[0.52920822 0.41391238]
[0.03113327 0.76089752]
[0.43151939 0.507886  ]
[0.7224948  0.69530644]
[0.11195925 0.21120725]
[0.63463687 0.11574182]
[0.01264456 0.29255155]
[0.46928147 1.00755965]
[0.71382651 0.51357095]
[0.43226828 0.42868439]
[0.30858914 0.7393155 ]
[0.21952625 0.55558136]
[0.39272779 0.39545886]
[ 0.21060634 -0.03760537]
[0.60724559 0.00345233]
[0.81585163 0.56178593]
[0.55932105 0.61721934]
[0.96057821 0.47480605]
[0.46680842 0.10363447]
[0.27669884 0.70633759]
[ 0.10963593 -0.01203526]
[0.89203308 0.79414833]
[0.2775992  0.85054182]
[0.11476608 0.55779962]
[0.53269914 0.34102553]
[0.71952721 0.6922803 ]
[0.22657916 0.26315871]
[0.42419515 0.88962241]
[0.6937466  0.61145696]
[0.84564746 0.12770535]
[0.23590893 0.08295123]
[0.70640841 0.36993062]
[0.20028919 0.77957916]
[0.56757721 0.44678021]
[0.80278147 0.87414838]
[0.50290267 0.65713746]
[0.86035144 0.54643936]
[0.37461797 0.75767784]
[0.54896642 0.78803008]
[0.59188506 0.77353119]
[0.67857886 0.00184824]
[0.52311342 0.61684156]
[0.36683047 0.2722293 ]
[0.66398342 0.82260887]
[0.91796169 0.84908387]
[0.50296788 0.37850474]
[0.49160406 0.79513292]
[0.24425366 0.36363113]
[0.30806164 0.49575743]
[0.76198098 0.21460007]
[0.77803772 0.51009257]
[0.93817464 0.18676795]
[0.40474431 0.77430412]
[0.31259202 0.31313425]
[0.18488753 0.75450228]
[0.26073398 0.97184436]
[0.57588486 0.74986902]
[0.64046681 1.01218906]
[0.75486991 0.97636543]
[0.07933188 0.2028041 ]
[0.25728465 0.26480418]
[0.05048315 0.8259283 ]
[0.82134485 0.29744415]
[0.37146743 0.05746718]
[0.81492348 0.17712991]
[0.94199367 0.10462945]
[0.48849131 0.17868025]
[0.39435583 0.49417534]
[0.39516352 1.02206076]
[0.9674506 0.793616 ]
[0.11175202 0.60109337]
[-0.00050406  0.40411403]
[-0.06824079  0.50344401]
[0.97940502 0.47885382]
[0.5515528  0.32502593]
[0.1794403  0.22505461]
[0.19742633 0.02642291]
[0.24487947 0.44214109]
[0.78269799 0.69270539]
[ 0.56292839 -0.08294355]
[0.47974164 0.23278932]
[0.56525267 0.59056473]
[-0.00128824  0.42924371]
[0.64582174 0.25462846]
